Batch Number,Synthesis ID,Date Taken,Magnification (X),Co(NO3)2*6H2O (mg),"2,5-Dihydroxyterephthalic Acid (mg)",Temperature (°C),Water (ul),DMF (ul),Ethanol (ul),Reaction Time (hrs),Use Manual Procedure,Use Manual-Pipette Procedure,Use Robotic-Mara Procedure,Image Path
1.0,SolventVolumes-6I,2024-07-26,20.0,80,20,100.0,2500.0,5000.0,2500.0,24.0,True,False,True,co-mof_dataset/images/Batch1-(SolventVolumes-I)/SolventVolumes-6I/EVOS_20X_048.tif
1.0,SolventVolumes-6I,2024-07-26,20.0,80,20,100.0,2500.0,5000.0,2500.0,24.0,True,False,True,co-mof_dataset/images/Batch1-(SolventVolumes-I)/SolventVolumes-6I/EVOS_20X_044.tif
1.0,SolventVolumes-6I,2024-07-26,20.0,80,20,100.0,2500.0,5000.0,2500.0,24.0,True,False,True,co-mof_dataset/images/Batch1-(SolventVolumes-I)/SolventVolumes-6I/EVOS_20X_046.tif
1.0,SolventVolumes-5I,2024-07-26,20.0,80,20,100.0,6000.0,2000.0,2000.0,24.0,True,False,True,co-mof_dataset/images/Batch1-(SolventVolumes-I)/SolventVolumes-5I/EVOS_20X_020.tif
1.0,SolventVolumes-5I,2024-07-26,20.0,80,20,100.0,6000.0,2000.0,2000.0,24.0,True,False,True,co-mof_dataset/images/Batch1-(SolventVolumes-I)/SolventVolumes-5I/EVOS_20X_027.tif
1.0,SolventVolumes-5I,2024-07-26,20.0,80,20,100.0,6000.0,2000.0,2000.0,24.0,True,False,True,co-mof_dataset/images/Batch1-(SolventVolumes-I)/SolventVolumes-5I/EVOS_20X_026.tif
1.0,SolventVolumes-5I,2024-07-26,20.0,80,20,100.0,6000.0,2000.0,2000.0,24.0,True,False,True,co-mof_dataset/images/Batch1-(SolventVolumes-I)/SolventVolumes-5I/EVOS_20X_024.tif
1.0,SolventVolumes-5I,2024-07-26,20.0,80,20,100.0,6000.0,2000.0,2000.0,24.0,True,False,True,co-mof_dataset/images/Batch1-(SolventVolumes-I)/SolventVolumes-5I/EVOS_20X_022.tif
1.0,SolventVolumes-5I,2024-07-26,20.0,80,20,100.0,6000.0,2000.0,2000.0,24.0,True,False,True,co-mof_dataset/images/Batch1-(SolventVolumes-I)/SolventVolumes-5I/EVOS_20X_021.tif
1.0,SolventVolumes-5I,2024-07-26,20.0,80,20,100.0,6000.0,2000.0,2000.0,24.0,True,False,True,co-mof_dataset/images/Batch1-(SolventVolumes-I)/SolventVolumes-5I/EVOS_20X_023.tif
1.0,SolventVolumes-5I,2024-07-26,20.0,80,20,100.0,6000.0,2000.0,2000.0,24.0,True,False,True,co-mof_dataset/images/Batch1-(SolventVolumes-I)/SolventVolumes-5I/EVOS_20X_033.tif
1.0,SolventVolumes-5I,2024-07-26,20.0,80,20,100.0,6000.0,2000.0,2000.0,24.0,True,False,True,co-mof_dataset/images/Batch1-(SolventVolumes-I)/SolventVolumes-5I/EVOS_20X_034.tif
1.0,SolventVolumes-5I,2024-07-26,20.0,80,20,100.0,6000.0,2000.0,2000.0,24.0,True,False,True,co-mof_dataset/images/Batch1-(SolventVolumes-I)/SolventVolumes-5I/EVOS_20X_031.tif
1.0,SolventVolumes-5I,2024-07-26,20.0,80,20,100.0,6000.0,2000.0,2000.0,24.0,True,False,True,co-mof_dataset/images/Batch1-(SolventVolumes-I)/SolventVolumes-5I/EVOS_20X_037.tif
1.0,SolventVolumes-5I,2024-07-26,20.0,80,20,100.0,6000.0,2000.0,2000.0,24.0,True,False,True,co-mof_dataset/images/Batch1-(SolventVolumes-I)/SolventVolumes-5I/EVOS_20X_025.tif
1.0,SolventVolumes-5I,2024-07-26,20.0,80,20,100.0,6000.0,2000.0,2000.0,24.0,True,False,True,co-mof_dataset/images/Batch1-(SolventVolumes-I)/SolventVolumes-5I/EVOS_20X_032.tif
1.0,SolventVolumes-5I,2024-07-26,20.0,80,20,100.0,6000.0,2000.0,2000.0,24.0,True,False,True,co-mof_dataset/images/Batch1-(SolventVolumes-I)/SolventVolumes-5I/EVOS_20X_035.tif
1.0,SolventVolumes-5I,2024-07-26,20.0,80,20,100.0,6000.0,2000.0,2000.0,24.0,True,False,True,co-mof_dataset/images/Batch1-(SolventVolumes-I)/SolventVolumes-5I/EVOS_20X_030.tif
1.0,SolventVolumes-5I,2024-07-26,20.0,80,20,100.0,6000.0,2000.0,2000.0,24.0,True,False,True,co-mof_dataset/images/Batch1-(SolventVolumes-I)/SolventVolumes-5I/EVOS_20X_028.tif
1.0,SolventVolumes-5I,2024-07-26,20.0,80,20,100.0,6000.0,2000.0,2000.0,24.0,True,False,True,co-mof_dataset/images/Batch1-(SolventVolumes-I)/SolventVolumes-5I/EVOS_20X_029.tif
1.0,SolventVolumes-5I,2024-07-26,20.0,80,20,100.0,6000.0,2000.0,2000.0,24.0,True,False,True,co-mof_dataset/images/Batch1-(SolventVolumes-I)/SolventVolumes-5I/EVOS_20X_036.tif
1.0,SolventVolumes-2I,2024-07-26,20.0,80,20,100.0,5000.0,2500.0,2500.0,24.0,True,False,True,co-mof_dataset/images/Batch1-(SolventVolumes-I)/SolventVolumes-2I/EVOS_20X_005.tif
