Batch_number,Synthesis_ID,Magnification_X,Image_Path,Manual Steps,Robot Steps (Mara),Co(NO3)2*6H2O,"2,5-Dihydroxyterephthalic Acid",Temperature (°C),Reaction Time (hrs),Water ul,DMF ul,Ethanol ul,Notes/Observations,Date Taken
1,SolventVolumes-6I,20.0,dataset/images/Batch1-(SolventVolumes-I)/SolventVolumes-6I/EVOS_20X_048.tif,Timing,Timing with adapter (wellplate),4.0,1.0,100.0,24.0,2500.0,5000.0,2500.0,,2024-07-26
1,SolventVolumes-6I,20.0,dataset/images/Batch1-(SolventVolumes-I)/SolventVolumes-6I/EVOS_20X_044.tif,Timing,Timing with adapter (wellplate),4.0,1.0,100.0,24.0,2500.0,5000.0,2500.0,,2024-07-26
1,SolventVolumes-6I,20.0,dataset/images/Batch1-(SolventVolumes-I)/SolventVolumes-6I/EVOS_20X_046.tif,Timing,Timing with adapter (wellplate),4.0,1.0,100.0,24.0,2500.0,5000.0,2500.0,,2024-07-26
1,SolventVolumes-5I,20.0,dataset/images/Batch1-(SolventVolumes-I)/SolventVolumes-5I/EVOS_20X_020.tif,Heating vials with a heating block,Heating with adapter (wellplate),4.0,1.0,100.0,24.0,6000.0,2000.0,2000.0,,2024-07-26
1,SolventVolumes-5I,20.0,dataset/images/Batch1-(SolventVolumes-I)/SolventVolumes-5I/EVOS_20X_027.tif,Heating vials with a heating block,Heating with adapter (wellplate),4.0,1.0,100.0,24.0,6000.0,2000.0,2000.0,,2024-07-26
1,SolventVolumes-5I,20.0,dataset/images/Batch1-(SolventVolumes-I)/SolventVolumes-5I/EVOS_20X_026.tif,Heating vials with a heating block,Heating with adapter (wellplate),4.0,1.0,100.0,24.0,6000.0,2000.0,2000.0,,2024-07-26
1,SolventVolumes-5I,20.0,dataset/images/Batch1-(SolventVolumes-I)/SolventVolumes-5I/EVOS_20X_024.tif,Heating vials with a heating block,Heating with adapter (wellplate),4.0,1.0,100.0,24.0,6000.0,2000.0,2000.0,,2024-07-26
1,SolventVolumes-5I,20.0,dataset/images/Batch1-(SolventVolumes-I)/SolventVolumes-5I/EVOS_20X_022.tif,Heating vials with a heating block,Heating with adapter (wellplate),4.0,1.0,100.0,24.0,6000.0,2000.0,2000.0,,2024-07-26
1,SolventVolumes-5I,20.0,dataset/images/Batch1-(SolventVolumes-I)/SolventVolumes-5I/EVOS_20X_021.tif,Heating vials with a heating block,Heating with adapter (wellplate),4.0,1.0,100.0,24.0,6000.0,2000.0,2000.0,,2024-07-26
1,SolventVolumes-5I,20.0,dataset/images/Batch1-(SolventVolumes-I)/SolventVolumes-5I/EVOS_20X_023.tif,Heating vials with a heating block,Heating with adapter (wellplate),4.0,1.0,100.0,24.0,6000.0,2000.0,2000.0,,2024-07-26
